"IDHOGAR","NPERS","INTERVALO","APRIN","FACTORF","SEXO","EDAD"
"00032","01","067","938","0062511899326132","Varón",43
"00032","01","068","938","0062511899326132","Varón",43
"00032","01","069","938","0062511899326132","Varón",43
"00032","01","070","938","0062511899326132","Varón",43
"00032","01","071","938","0062511899326132","Varón",43
"00032","01","072","938","0062511899326132","Varón",43
"00032","01","085","938","0062511899326132","Varón",43
"00032","01","086","938","0062511899326132","Varón",43
"00032","01","087","938","0062511899326132","Varón",43
"00032","01","088","938","0062511899326132","Varón",43
"00032","01","089","938","0062511899326132","Varón",43
"00032","01","090","938","0062511899326132","Varón",43
"00032","02","019","938","0049505644511263","Mujer",45
"00032","02","020","938","0049505644511263","Mujer",45
"00032","02","021","938","0049505644511263","Mujer",45
"00032","02","022","938","0049505644511263","Mujer",45
"00032","02","023","938","0049505644511263","Mujer",45
"00032","02","024","938","0049505644511263","Mujer",45
"00032","02","055","938","0049505644511263","Mujer",45
"00032","02","056","938","0049505644511263","Mujer",45
"00032","02","057","938","0049505644511263","Mujer",45
"00032","02","073","938","0049505644511263","Mujer",45
"00032","02","074","938","0049505644511263","Mujer",45
"00032","02","075","938","0049505644511263","Mujer",45
"00032","02","076","938","0049505644511263","Mujer",45
"00032","02","077","938","0049505644511263","Mujer",45
"00032","02","078","938","0049505644511263","Mujer",45
"00038","02","044","938","0062059673085230","Mujer",34
"00038","02","045","938","0062059673085230","Mujer",34
"00043","01","066","938","0088547487917597","Mujer",50
"00043","01","067","938","0088547487917597","Mujer",50
"00043","01","068","938","0088547487917597","Mujer",50
"00043","01","069","938","0088547487917597","Mujer",50
"00044","02","045","938","0037129233383447","Mujer",45
"00047","02","065","938","0153307915411988","Mujer",43
"00047","02","066","938","0153307915411988","Mujer",43
"00047","02","067","938","0153307915411988","Mujer",43
"00047","02","073","938","0153307915411988","Mujer",43
"00047","02","074","938","0153307915411988","Mujer",43
"00048","01","072","938","0037129233383447","Mujer",45
"00048","01","073","938","0037129233383447","Mujer",45
"00048","01","074","938","0037129233383447","Mujer",45
"00048","01","075","938","0037129233383447","Mujer",45
"00048","01","076","938","0037129233383447","Mujer",45
"00048","01","082","938","0037129233383447","Mujer",45
"00048","02","046","938","0044288934694804","Varón",45
"00048","02","047","938","0044288934694804","Varón",45
"00049","01","070","938","0037129233383447","Mujer",47
"00049","01","071","938","0037129233383447","Mujer",47
"00049","01","072","938","0037129233383447","Mujer",47
"00049","01","076","938","0037129233383447","Mujer",47
"00049","01","079","938","0037129233383447","Mujer",47
"00049","01","080","938","0037129233383447","Mujer",47
"00049","01","081","938","0037129233383447","Mujer",47
"00049","01","082","938","0037129233383447","Mujer",47
"00049","01","083","938","0037129233383447","Mujer",47
"00049","01","084","938","0037129233383447","Mujer",47
"00049","01","085","938","0037129233383447","Mujer",47
"00049","01","086","938","0037129233383447","Mujer",47
"00049","01","093","938","0037129233383447","Mujer",47
"00049","01","094","938","0037129233383447","Mujer",47
"00049","01","095","938","0037129233383447","Mujer",47
